NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
WINGATE UNIVERSITY,4433,WINGATE,NC,UNION,37179,2,3681,752
FRAMINGHAM STATE UNIVERSITY,6142,FRAMINGHAM,MA,MIDDLESEX,25017,3,5456,686
FRANCISCAN UNIVERSITY OF STEUBENVILLE,3519,STEUBENVILLE,OH,JEFFERSON,39081,2,3039,480
RUTGERS UNIVERSITY-NEWARK,15726,NEWARK,NJ,ESSEX,34013,4,13605,2121
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT LOS ANGELES,3092,LOS ANGELES,CA,LOS ANGELES,06037,2,2999,93
INSTITUTE OF WORLD POLITICS,222,WASHINGTON,DC,DISTRICT OF COLUMBIA,11001,1,143,79
RABBINICAL COLLEGE BOBOVER YESHIVA BNEI ZION,454,BROOKLYN,NY,KINGS,36047,1,403,51
RABBINICAL SEMINARY OF AMERICA,583,FLUSHING,NY,QUEENS,36081,1,464,119
BOSTON COLLEGE,18963,CHESTNUT HILL,MA,MIDDLESEX,25017,4,14747,4216
ARIZONA STATE UNIVERSITY-TEMPE,63152,TEMPE,AZ,MARICOPA,04013,5,53286,9866
LANDER UNIVERSITY,3828,GREENWOOD,SC,GREENWOOD,45047,2,3226,602
NORTHERN NEW MEXICO COLLEGE,1346,ESPANOLA,NM,RIO ARRIBA,35039,2,1119,227
DICKINSON COLLEGE,3092,CARLISLE,PA,CUMBERLAND,42041,2,2133,959
THE UNIVERSITY OF TENNESSEE-KNOXVILLE,38844,KNOXVILLE,TN,KNOX,47093,5,29460,9384
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH,8505,DAYTONA BEACH,FL,VOLUSIA,12127,3,7056,1449
MURRAY STATE UNIVERSITY,10953,MURRAY,KY,CALLOWAY,21035,3,9556,1397
CONCORDIA UNIVERSITY-NEBRASKA,3060,SEWARD,NE,SEWARD,31159,2,2703,357
LE MOYNE COLLEGE,4031,SYRACUSE,NY,ONONDAGA,36067,2,3326,705
