ENSEMBL	X1_CTR_BC_2	X2_TGF_BC_4	X3_IR_BC_5	X4_CTR_BC_6	X5_TGF_BC_7	X6_IR_BC_12	X7_CTR_BC_13	X8_TGF_BC_14	X9_IR_BC_15
ENSG00000012232	3053	3138	2935	3189	2490	2718	2395	3090	3323
ENSG00000012504	0	0	0	0	0	0	0	0	0
ENSG00000012660	5864	5376	4554	5752	5194	4323	5617	4573	4764
ENSG00000012779	0	1	0	0	0	0	0	0	0
ENSG00000012817	1675	2132	1061	1761	1912	1126	1341	1844	1223
ENSG00000012822	5982	6799	5118	6052	5759	4933	4868	6315	5874
ENSG00000012963	1211	1574	848	1292	1306	827	1010	1271	824
ENSG00000012983	4289	4843	4000	4534	4501	4135	4386	4093	3922
ENSG00000013016	6633	6452	2312	6435	5321	2239	5054	5936	2569
ENSG00000013275	2343	2914	2395	2443	2422	2444	1873	2759	2954
ENSG00000013288	4573	3866	5177	4551	3152	4898	3599	4223	5697
ENSG00000013293	1302	615	963	1531	663	1031	1209	716	1139
ENSG00000013297	24204	19208	12258	22671	18266	12770	19813	19886	13399
ENSG00000013306	1447	1870	1576	1439	1404	1337	1105	1897	1876
ENSG00000013364	6063	6618	4816	5491	4688	4493	3925	6759	5889
ENSG00000013374	2514	2811	2304	2643	2732	2180	2512	2568	2358
ENSG00000013375	5994	6115	5560	5931	5873	5401	5828	5061	5818
ENSG00000013392	679	806	623	771	709	632	670	636	637
ENSG00000013441	4010	4212	2537	3936	3869	2318	3585	3278	2204
ENSG00000013503	792	769	663	689	687	581	694	610	672
ENSG00000013523	1024	1327	980	1019	1134	803	809	1250	1009
ENSG00000013561	2209	2224	2904	2172	2029	2519	2190	1888	2797
ENSG00000013563	1805	1334	2245	1899	1148	2209	1566	1504	2736
ENSG00000013573	857	1229	405	885	955	378	616	1055	436
ENSG00000013583	1671	1660	2040	1773	1658	1950	1478	1683	2208
ENSG00000013588	5220	2127	9822	5716	1894	9370	4778	2987	11132
ENSG00000013619	793	1049	149	942	982	199	622	930	217
ENSG00000013725	7	10	2	10	5	5	8	9	5
ENSG00000013810	1047	1477	342	967	1118	319	774	1421	383
ENSG00000014123	2314	2272	1770	2143	2165	1872	2328	1878	1766
ENSG00000014138	559	661	410	570	542	404	434	588	422
ENSG00000014164	370	467	330	395	354	294	281	522	396
ENSG00000014216	4067	4308	3907	4183	3540	3624	2693	4678	4792
ENSG00000014257	809	615	616	861	553	645	704	562	646
ENSG00000014641	5684	5484	5583	5902	5508	5567	5485	4878	5855
ENSG00000014824	3522	3296	3274	3451	3154	3301	3411	2800	3265
ENSG00000014914	926	785	535	908	716	535	714	685	492
ENSG00000014919	1222	1153	1142	1233	1116	979	1125	1114	1179
ENSG00000015133	6	14	7	6	14	11	3	10	3
ENSG00000015153	696	749	698	701	698	687	655	582	706
ENSG00000015171	4326	4825	3079	4082	4500	3017	4061	3967	3203
ENSG00000015285	9	16	8	8	4	10	3	8	14
